date,week,rna_mean_faeces,ci_low_rna,ci_high_rna,lab
2022-01-06,2022-W01,7910.23,7364.7,8496.17,external
2022-01-13,2022-W02,7903.77,7334.86,8516.8,external
2022-01-20,2022-W03,12960.18,12086.92,13896.53,external
2022-01-27,2022-W04,18691.69,17666.36,19776.54,external
2022-02-03,2022-W05,20586.01,19584.23,21639.03,external
2022-02-10,2022-W06,31876.44,30328.21,33503.7,external
2022-02-17,2022-W07,25407.99,24167.29,26712.39,external
2022-02-24,2022-W08,23325.93,22192.66,24517.08,external
2022-03-03,2022-W09,17270.35,16331.76,18262.88,external
2022-03-10,2022-W10,12645.55,11795.44,13556.93,external
2022-03-17,2022-W11,10702.78,10036.32,11413.49,external
2022-03-24,2022-W12,8791.9,8103.49,9538.8,external
2022-03-31,2022-W13,5846.56,5396.87,6333.71,external
2022-04-07,2022-W14,3512.48,3270.67,3772.16,external
2022-04-14,2022-W15,4038.56,3688.44,4421.91,external
2022-04-21,2022-W16,2521.82,2249.11,2827.59,external
2022-04-28,2022-W17,1420.98,1274.94,1583.75,external
2022-05-05,2022-W18,578.53,515.21,649.63,external
2022-05-12,2022-W19,433.9,378.34,497.62,external
2022-05-19,2022-W20,514.92,462.02,573.88,external
2022-05-26,2022-W21,459.11,406.99,517.9,external
2022-06-02,2022-W22,551.03,495.23,613.11,external
2022-06-09,2022-W23,562.17,490.84,643.88,external
2022-06-16,2022-W24,1373.19,1217.6,1548.66,external
2022-06-23,2022-W25,2139.38,1939.24,2360.19,external
2022-06-30,2022-W26,1079.7,947.98,1229.72,external
2022-07-07,2022-W27,2802.54,2525.36,3110.15,external
2022-07-14,2022-W28,3585.34,3175.86,4047.61,external
2022-07-21,2022-W29,3328.25,2774.24,3992.89,external
2022-07-28,2022-W30,2734.56,2443.9,3059.79,external
2022-08-04,2022-W31,3270.87,2927.21,3654.88,external
2022-08-11,2022-W32,3444.48,2992.95,3964.14,external
2022-08-18,2022-W33,2321.06,2060.2,2614.94,external
2022-08-25,2022-W34,1960.05,1722.33,2230.58,external
2022-09-01,2022-W35,1425.85,1243.64,1634.76,external
2022-09-08,2022-W36,1546.48,1354.28,1765.95,external
2022-09-15,2022-W37,1270.24,1074.01,1502.33,external
2022-09-22,2022-W38,1677.55,1455.68,1933.24,external
2022-09-29,2022-W39,1899.22,1685.95,2139.47,external
2022-10-06,2022-W40,3470.21,3121.77,3857.55,external
2022-10-13,2022-W41,4010.43,3602.29,4464.82,external
2022-10-20,2022-W42,3268.76,2912.69,3668.36,external
2022-10-27,2022-W43,2403.86,2175.1,2656.68,external
2022-11-03,2022-W44,1394.7,1245.55,1561.72,external
2022-11-10,2022-W45,1227.74,1070.51,1408.05,external
2022-11-17,2022-W46,1179.76,1010.69,1377.11,external
2022-11-24,2022-W47,1784.43,1567.89,2030.87,external
2022-12-01,2022-W48,2697.67,2395.7,3037.72,external
2022-12-08,2022-W49,6000.08,5410.92,6653.39,external
2022-12-15,2022-W50,8014.91,7116.82,9026.33,external
2022-12-22,2022-W51,7299.25,6611.21,8058.9,external
2022-12-29,2022-W52,9017.03,7935.64,10245.79,external
2023-01-05,2023-W01,3183.8,2806.62,3611.66,external
2023-01-12,2023-W02,2369.5,2096.88,2677.58,external
2023-01-19,2023-W03,854.41,732.45,996.69,external
2023-01-26,2023-W04,783.72,677.3,906.87,external
2023-02-02,2023-W05,873.2,755.96,1008.62,external
2023-02-09,2023-W06,1303.7,1034.1,1643.59,external
2023-02-16,2023-W07,1333.01,1095.1,1622.59,external
2023-02-23,2023-W08,1103.36,860.99,1413.96,external
2023-03-02,2023-W09,1415.69,1117.18,1793.96,external
2023-03-09,2023-W10,2265.9,1848.66,2777.31,external
2023-03-16,2023-W11,2575.9,2059.66,3221.53,external
2023-03-23,2023-W12,3744.21,3183,4404.37,external
2023-03-30,2023-W13,3111.13,2596.63,3727.57,external
2023-04-06,2023-W14,2439.39,2087.37,2850.78,tcdk
2023-04-13,2023-W15,3370.01,2926.22,3881.12,tcdk
2023-04-20,2023-W16,1721.08,1479.71,2001.82,tcdk
2023-04-27,2023-W17,1969.38,1733.74,2237.05,tcdk
2023-05-04,2023-W18,1708.66,1405.78,2076.81,tcdk
2023-05-11,2023-W19,943.82,819.29,1087.28,tcdk
2023-05-18,2023-W20,1362.38,1132.13,1639.45,tcdk
2023-05-25,2023-W21,719.48,595.51,869.27,tcdk
2023-06-01,2023-W22,737.06,615.54,882.56,tcdk
2023-06-08,2023-W23,289,237.99,350.95,tcdk
2023-06-15,2023-W24,205.99,179.19,236.81,tcdk
2023-06-22,2023-W25,98.15,84.87,113.51,tcdk
2023-06-29,2023-W26,59.35,48.6,72.48,tcdk
2023-07-06,2023-W27,83.32,70.29,98.75,tcdk
2023-07-13,2023-W28,113.02,95.64,133.55,tcdk
2023-07-20,2023-W29,133.07,110.95,159.6,tcdk
2023-07-27,2023-W30,239.08,203.04,281.52,tcdk
2023-08-03,2023-W31,261.24,218.94,311.7,tcdk
2023-08-10,2023-W32,665.42,573.84,771.62,tcdk
2023-08-17,2023-W33,858.92,754.27,978.09,tcdk
2023-08-24,2023-W34,1186.01,991.94,1418.06,tcdk
2023-08-31,2023-W35,740.23,640.8,855.09,tcdk
2023-09-07,2023-W36,1448.91,1282.35,1637.1,tcdk
2023-09-14,2023-W37,1058.55,931.88,1202.44,tcdk
2023-09-21,2023-W38,1410.52,1123.9,1770.23,tcdk
2023-09-28,2023-W39,1161.25,1002.39,1345.3,tcdk
2023-10-05,2023-W40,1865.21,1604.64,2168.09,tcdk
2023-10-12,2023-W41,1764.19,1539,2022.32,tcdk
2023-10-19,2023-W42,4567.04,3975.12,5247.09,tcdk
2023-10-26,2023-W43,5359.5,4622.53,6213.98,tcdk
2023-11-02,2023-W44,7157.21,6532.9,7841.19,tcdk
2023-11-09,2023-W45,8456.88,7530.17,9497.64,tcdk
2023-11-16,2023-W46,7628.91,6834.88,8515.19,tcdk
2023-11-23,2023-W47,11431.36,10316.05,12667.25,tcdk
2023-11-30,2023-W48,16728.82,14543.23,19242.88,tcdk
2023-12-07,2023-W49,32182.24,28319.16,36572.29,tcdk
2023-12-14,2023-W50,29209.37,26606.34,32067.07,tcdk
2023-12-21,2023-W51,27336.95,24685.22,30273.53,tcdk
2023-12-28,2023-W52,17606.23,14838.46,20890.26,tcdk
2024-01-04,2024-W01,3489.28,2525.08,4821.65,tcdk
2024-01-11,2024-W02,2702.29,2393.85,3050.47,tcdk
2024-01-18,2024-W03,1463.94,1176.12,1822.2,tcdk
2024-01-25,2024-W04,1027.47,890.22,1185.88,tcdk
2024-02-01,2024-W05,769.77,659.01,899.16,tcdk
2024-02-08,2024-W06,668.32,584,764.82,tcdk
2024-02-15,2024-W07,608.96,509.44,727.92,tcdk
2024-02-22,2024-W08,411.98,357.07,475.34,tcdk
